museum_name,museum_japanese,architect,architect_japanese,completion_year,architectural_style,region,prefecture,city,nearest_station,nearest_major_city,description,architectural_highlights,significance,accessibility_notes,primary_museum_experience_blurb,nearby_cultural_attraction_name,distance_from_main_attraction_deprecated,distance_from_main_attraction,nearby_cultural_attraction_blurb,museum_image_url,image_attribution,attraction_1_image_url,attraction_1_attribution,attraction_2_image_url,attraction_2_attribution
东京都庭园美术馆,東京都庭園美術館,権藤要吉,権藤要吉,1933,融合装饰艺术与日本皇室文化的历史建筑,关东,东京都,东京,目黑站,东京,东京都庭园美术馆由旧朝香宫邸改建而成，以精致奢华的装饰艺术（Art Deco）风格著称，馆内保留大量法国工艺装饰，是东京文化遗产中极具魅力的存在。,建筑亮点包括雷蒙·苏比设计的玻璃浮雕、几何纹样金属制品、奢华大理石材质以及宫邸式房间布局，呈现1930年代国际装饰艺术的典雅氛围。,作为研究装饰艺术与皇室建筑史的重要场所，美术馆同时举办现代艺术展览，形成时代交织的独特文化体验。,从目黑站步行约7–10分钟即可抵达，沿途标识完善，庭院内亦设有休憩空间。,展览以装饰艺术、设计史、当代艺术为主轴，并以建筑本身作为展示内容的重要组成元素。,目黑庭园,步行1分钟,步行约1分钟,被绿树环绕的静谧庭园，是漫步、拍照与放松的绝佳去处。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Metropolitan_Teien_Art_Museum.jpg,"By Kestrel - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Metropolitan_Teien_Art_Museum_prince_asaka_former_res.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hatakeyama_Memorial_Museum_of_Fine_Art.jpg,"By Daderot - Own work, CC0"
东京国立博物馆本馆,東京国立博物館本館,渡边仁,渡邊仁,1938,融合帝冠样式与现代建筑的昭和时期文化建筑,关东,东京都,东京,上野站,东京,东京国立博物馆本馆采用日本独特的“帝冠样式”，结合和式屋顶与西式结构，庄严端正，是昭和文化建筑的代表作品。,建筑亮点包括宏伟的玄关大厅、深远屋檐、经典对称布局，以及融合和洋元素的空间构成。,作为日本最重要的综合性文化博物馆之一，馆藏超过11万件文化财，包括国宝与重要文化财，是了解日本文明史的不二之地。,从上野站步行几分钟即可抵达，位于上野公园核心区域，参观动线便捷。,展览涵盖考古、佛教艺术、工艺、绘画、武具与民族文化，是日本艺术史的核心宝库。,上野公园,步行1分钟,步行约1分钟,东京最著名的文化与自然融合公共公园，聚集多所博物馆。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/tokyo-national-museum.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_National_Museum_Honkan_interior.jpg,"By Dick Thomas Johnson from Tokyo, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Toshogu_Shrine_Ueno_Park.jpg,"By Guilhem Vellut from Annecy, France - Toshogu Shrine @ Ueno Park, CC BY 2.1"
箱根雕刻之森美术馆,彫刻の森美術館,佐藤武夫,佐藤武夫,1969,结合自然景观的雕塑公园式现代建筑,关东,神奈川县,箱根,小涌谷站,小田原,箱根雕刻之森美术馆是日本首座户外雕塑公园，依箱根山麓自然景观而建，展区与山林、草地和天光融为一体。,建筑亮点包括开放式展场、塔状观景结构以及穿插于自然中的雕塑路线设计，让艺术与环境共生。,作为国际雕塑艺术的重要展示地，馆内收藏亨利·摩尔、罗丹、米罗等大师之作，是艺术旅行的经典之选。,从小涌谷站步行约2分钟即可抵达，周边自然环境优美。,园区内常设大型雕塑作品，并提供适合家庭游客的互动展区。,箱根玻璃之森美术馆,乘巴士约20分钟,乘巴士约20分钟,意大利威尼斯风格庭园与玻璃艺术结合的主题美术馆。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hakone_Open-air_Museum_Japan.jpg,"By 663highland - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hakone_Open-air_Museum_structure.jpg,"By Suicasmo - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hakone_Shrine_path.jpg,"By Guilhem Vellut, CC BY 2.0"
镰仓英国古董博物馆,ブリティッシュアンティークミュージアム,不适用,Various,2020,以维多利亚风格室内陈设为核心的主题型文化设施,关东,神奈川县,镰仓,镰仓站,镰仓,该馆以英国维多利亚时代古董家具、银器、玻璃器皿与室内陈设为主轴，将“时代氛围再现”作为展览核心。,建筑亮点集中于室内装饰，包括壁炉、雕刻家具、古董灯具与英国室内装饰经典配色。,作为主题型展示设施，提供沉浸式英伦生活体验，是镰仓近年来的人气文化景点。,镰仓站步行数分钟即可抵达。,展览以主题陈列方式呈现英国文化物件，为观众提供穿越式体验。,镰仓大佛（高德院）,乘巴士约10分钟,乘巴士约10分钟,日本最著名的大佛雕像之一，也是镰仓的象征。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/BAM.jpg,"By Santa365 - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/4th_Floor_brit_museum.jpg,"By Santa365 - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kamakura_Museum_of_National_Treasures.jpg,"By Urashimataro - Own work, Public Domain"
群马县立近代美术馆,群馬県立近代美術館,前川国男,前川國男,1974,以简洁盒体与深挑檐为特征的现代主义公共建筑,关东,群马县,高崎市,高崎站,高崎市,该馆由前川国男设计，以其现代主义矩形量体、整齐的窗格与简练立面而著称，是日本地方现代美术馆建筑中的典范。,建筑亮点包括深挑檐带来的柔光、开放式入口空间与均衡的体量处理。,作为群马地区的现代美术中心，馆藏涵盖日本战后美术的主要脉络。,从高崎站乘巴士或步行皆可抵达，周边公园环境宜人。,展览以现代美术为主，亦举办地方艺术家的专题策展。,群马之森公园,步行3分钟,步行约3分钟,围绕美术馆展开的大型公园，适合散步与亲子活动。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Museum-of-Modern-Art-Gunma.jpg,"By pcs34560 - Own work, Public Domain",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/The_Museum_of_Modern_Art_Gunma.jpg,"By Abasaa - Own work, Public Domain",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tomioka-Silk-Mill_East-Cocoon-Warehouse.jpg,By NY066
富山市玻璃美术馆,富山市ガラス美術館,隈研吾,隈研吾,2015,以木结构格栅与玻璃立面交织的当代公共建筑,中部,富山县,富山市,富山站,富山,富山市玻璃美术馆以透亮玻璃与温润木格栅的结合为特色，展厅位于公共图书馆综合设施内，以轻盈的空间构成受到国际关注。,建筑亮点包括多层通高中庭、木格结构、光影交错的展厅动线设计，体现隈研吾追求“透明与轻柔”的建筑理念。,作为城市文化复合设施的一部分，美术馆与图书馆共享空间，使艺术融入市民日常生活。,从富山站步行可至，交通便利。,展览以玻璃艺术为核心，展示国内外玻璃艺术家的作品及国际合作项目。,富山市市政公园,步行3分钟,步行约3分钟,绿地环绕的公共公园，适合参观前后休憩。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/TOYAMA_KIRARI_Toyama_Glass_Art_Museum.jpg,"By Asturio Cantabrio - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Toyama_Glass_Art_Museum_ceiling.jpg,"By ???, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Mori_Shuhei_Museum_of_Art.jpg,"By ã•ã‹ãŠã‚Š - Own work, CC BY-SA 4.0"
铃木大拙馆,鈴木大拙館,谷口吉生,谷口吉生,2011,以水庭与极简构成表达禅意的现代建筑,北陆,石川县,金泽市,金泽站,金泽,铃木大拙馆以水、光、影构成的极简空间著称，是谷口吉生“宁静建筑”的代表作，专为纪念佛教学者铃木大拙而建。,建筑亮点包括沉思空间、水镜庭院与连贯的回游动线，营造静谧、反思与冥想的氛围。,作为研究禅文化与现代建筑的标志性地点，吸引全球建筑爱好者前来参观。,从金泽站乘巴士可达，步行区安静宜人。,展厅以铃木大拙的思想与著作为核心，呈现文字、影像与沉浸式空间体验。,金泽城公园,步行5分钟,步行约5分钟,金泽市中心著名历史遗址，结合庭园与城墙景观。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/D.T. Suzuki Museum.jpg,"By kajikawa, CC BY 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/ST_Suzuki_interior.jpg,"By kajikawa, CC BY 3.0","https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nagamachi_district,_Kanazawa.jpg","By Andrea Schaffer, CC BY 2.0"
金泽21世纪当代美术馆,金沢21世紀美術館,妹岛和世＋西泽立卫,妹島和世+西沢立衛,2004,以圆形平面与透明立面构成的开放式当代建筑,北陆,石川县,金泽市,金泽站,金泽,该馆以“透明、开放、无界限”为理念，由SANAA设计，是日本最具国际影响力的当代艺术馆之一。,建筑亮点包括环形平面布局、透明玻璃立面、庭园可穿越性与多入口系统，使美术馆成为城市公共生活的一部分。,其国际化展览项目使金泽成为当代艺术重镇，吸引来自世界各地的艺术家与策展机构。,从金泽站乘巴士可达，步行区宽敞舒适。,展览以当代艺术为核心，涵盖装置、摄影、媒体艺术等前沿作品。,兼六园,步行5分钟,步行约5分钟,日本三大名园之一，以四季景观变化闻名。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/21st_Century_Museum_of_Contemporary_Art.jpg,"By é‡‘æ²¢å¸‚, CC BY 2.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/kanazawa_21st_century_museum_art_aerial_view.jpg,"By ???, CC BY 2.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kenroku-en.jpg,"By Balon Greyjoy - Own work, CC0"
广岛市现当代美术馆,広島市現代美術館,黑川纪章,黒川紀章,1989,以几何体块与混凝土构成的后现代建筑,中国地区,广岛县,广岛市,比治山公园站,广岛市,位于比治山公园内，是黑川纪章代表性的后现代设计，以对称几何结构与外露混凝土构成独特视觉效果。,建筑亮点包括大型台阶式入口、穹顶结构与呈放射状展开的展厅布局。,作为广岛当代文化的核心据点，美术馆以其主题策展与国际合作闻名。,从比治山公园站步行可达。,展览涵盖当代艺术、摄影、装置艺术，亦举办地区艺术发展相关项目。,比治山公园,步行1分钟,步行约1分钟,广岛市区的森林公园，景观宜人。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Stairs_in_Contemp._art_museum_Hiroshima.jpg,"By Max Nossin, CC BY 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hiroshima_Moca.jpg,"By Taisyo, CC BY 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hiroshima_Shukkeien.jpg,"By Jakub Haun - Own work, CC BY-SA 4.0"
广岛市现当代美术馆（临时馆）,広島市現代美術館（仮施設）,黑川纪章,黒川紀章,2020,以临时展览构造为导向的轻量化当代空间,中国地区,广岛县,广岛市,广岛站,广岛市,因主馆整修而设置的临时展馆，以轻量化结构与灵活展览空间为特色，继续承担广岛当代艺术展示功能。,建筑亮点包括轻量隔墙、多用途展区与平缓交通动线。,作为主馆修复期间的重要文化替代设施，确保当代艺术展示不断档。,从广岛站步行或乘巴士即可抵达。,展览持续介绍本地与国际当代艺术家作品。,广岛和平纪念公园,乘电车约10分钟,乘电车约10分钟,世界和平象征地标，包含多处纪念碑与博物馆。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/benesse-house-museum.jpg,"By Kanesue, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Benesse_House_Museum_landscape.jpg,"By Chris Gladis from Fukuoka, Japan, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/chichu-art-museum.jpg,"By Kentaro Ohno, CC BY 2.0"
足立美术馆,足立美術館,不适用,Various,1970,以日本庭园景观为核心的美术馆建筑,中国地区,岛根县,安来市,安来站,松江,足立美术馆以其被誉为“日本第一庭园”的壮丽枯山水与四季景观而闻名，建筑本身以低调框景方式将庭园与艺术结合。,建筑亮点包括巨幅观景窗、将庭园当作“活的艺术品”的空间构成概念，以及与传统建筑比例相呼应的展厅布局。,该馆收藏横山大观等日本画大师作品，是日本画研究的重要阵地。,从安来站乘接驳巴士即可到达。,展览以近现代日本画为主，并以庭园作为艺术观赏的延伸。,安来市清水寺,乘巴士约15分钟,乘巴士约15分钟,山中古刹，以静谧参道与森林景观著称。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/chichu-art-museum.jpg,"By Kentaro Ohno, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Chichu_Art_Museum_interior.jpg,"By Shigeru Yamamoto, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/benesse-house-museum.jpg,"By Kanesue, CC BY-SA 3.0"
